;;Pie Chart;Funnel Chart;Line Chart;MultiSet Line Chart;Area Chart;Stacked Area Chart;100% Stacked Area Chart;Bar Chart;MultiSet Bar Chart;Histogram;Bubble Chart;MultiSet Bubble Chart;ScatterPlot;MultiSet ScatterPlot;Polar Chart
Concern;Comparison;Oui;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui
Concern;Proportion;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non
Concern;Relationship;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui
Concern;Hierarchy;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
Concern;Location;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
Concern;Probability;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non
Concern;PartToAWhole;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
Concern;Distribution;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Non
Concern;Patterns;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
Concern;Range;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non
Concern;OverTime;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;Oui;Non
Concern;Scalar;Oui;Oui;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Non
Concern;Discrete;Oui;Oui;Non;Non;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui
Concern;Variations;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non
Concern;Extremum;Non;Non;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Non;Oui
Input;2D_i;Oui;Oui;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non
Input;2D+_i;Non;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Oui
Input;3D_i;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
Input;3D+_i;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non
Output;1D_o;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
Output;1D+_o;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
Output;2D_o;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui;Non;Non;Oui;Non;Oui
Output;2D+_o;Non;Non;Non;Oui;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non
Output;3D_o;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
Output;3D+_o;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non
